generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
10,1000,40.30909090909091,52.0,1.0,1.0,1.0,2,11.154
20,1000,77.10909090909091,100.0,1.0,1.0,1.0,2,21.73
30,1000,116.94545454545455,138.0,1.0,1.0,1.0,3,32.436
40,1000,157.2,191.0,1.0,1.0,1.0,3,43.303
50,1000,186.83636363636364,208.0,1.0,1.0,1.0,3,53.945
60,1000,224.12727272727273,253.0,1.0,1.0,1.0,2,64.507
70,1000,246.34545454545454,303.0,1.0,1.0,1.0,3,73.94
80,1000,305.90909090909093,355.0,1.0,1.0,1.0,2,84.996
90,1000,332.2181818181818,389.0,1.0,1.0,1.0,3,95.516
100,1000,370.3454545454546,420.0,1.0,1.0,1.0,3,105.847
110,1000,380.4909090909091,448.0,1.0,1.0,1.0,3,116.462
120,1000,449.1818181818182,492.0,1.0,1.0,1.0,3,127.445
130,1000,453.96363636363634,530.0,1.0,1.0,1.0,3,138.096
140,1000,518.6,566.0,1.0,1.0,1.0,3,148.726
150,1000,526.9636363636364,604.0,1.0,1.0,1.0,2,159.106
160,1000,571.8545454545455,661.0,1.0,1.0,1.0,2,169.149
170,1000,630.2727272727273,674.0,1.0,1.0,1.0,2,180.511
180,1000,637.6909090909091,711.0,1.0,1.0,1.0,2,191.079
190,1000,679.8545454545455,760.0,1.0,1.0,1.0,2,201.608
200,1000,719.9090909090909,799.0,1.0,1.0,1.0,3,212.023
210,1000,707.9636363636364,808.0,1.0,1.0,1.0,2,222.256
220,1000,789.8909090909091,872.0,1.0,1.0,1.0,2,233.46
230,1000,790.3090909090909,861.0,1.0,1.0,1.0,3,243.069
240,1000,873.2181818181818,933.0,1.0,1.0,1.0,3,254.342
250,1000,860.5090909090909,976.0,1.0,1.0,1.0,2,264.428
260,1000,898.8,1007.0,1.0,1.0,1.0,2,275.296
270,1000,850.8545454545455,1060.0,1.0,1.0,1.0,2,285.808
280,1000,953.8363636363637,1088.0,1.0,1.0,1.0,3,295.912
290,1000,958.9272727272727,1093.0,1.0,1.0,1.0,3,306.679
300,1000,970.5454545454545,1158.0,1.0,1.0,1.0,3,317.678
310,1000,923.2363636363636,1201.0,1.0,1.0,1.0,3,328.384
320,1000,1074.9272727272728,1220.0,1.0,1.0,1.0,3,338.521
330,1000,1083.909090909091,1248.0,1.0,1.0,1.0,2,349.711
340,1000,1099.8909090909092,1233.0,1.0,1.0,1.0,2,359.836
350,1000,1112.1454545454546,1337.0,1.0,1.0,1.0,2,370.28
360,1000,1116.090909090909,1337.0,1.0,1.0,1.0,3,380.732
370,1000,1145.3636363636363,1390.0,1.0,1.0,1.0,3,391.394
380,1000,1244.1818181818182,1454.0,1.0,1.0,1.0,2,401.388
390,1000,1274.7818181818182,1502.0,1.0,1.0,1.0,2,412.565
400,1000,1133.7636363636364,1469.0,1.0,1.0,1.0,3,423.668
410,1000,1291.090909090909,1546.0,1.0,1.0,1.0,2,433.72
420,1000,1328.2,1543.0,1.0,1.0,1.0,2,445.159
430,1000,1306.4,1583.0,1.0,1.0,1.0,2,455.112
440,1000,1367.6727272727273,1613.0,1.0,1.0,1.0,3,465.861
450,1000,1309.490909090909,1606.0,1.0,1.0,1.0,2,476.503
460,1000,1363.3818181818183,1700.0,1.0,1.0,1.0,2,486.5
470,1000,1232.2363636363636,1666.0,1.0,1.0,1.0,2,497.003
480,1000,1433.8181818181818,1713.0,1.0,1.0,1.0,2,508.011
490,1000,1436.490909090909,1702.0,1.0,1.0,1.0,2,518.933
500,1000,1200.0545454545454,1752.0,1.0,1.0,1.0,3,528.971
510,1000,1460.3818181818183,1821.0,1.0,1.0,1.0,2,539.897
520,1000,1508.8,1820.0,1.0,1.0,1.0,3,550.111
530,1000,1573.6,1887.0,1.0,1.0,1.0,3,560.638
540,1000,1264.6,1852.0,1.0,1.0,1.0,2,571.954
550,1000,1582.5272727272727,1922.0,1.0,1.0,1.0,2,581.779
560,1000,1534.6181818181817,1965.0,1.0,1.0,1.0,2,592.583
570,1000,1539.2545454545455,1948.0,1.0,1.0,1.0,3,603.229
580,1000,1625.418181818182,1950.0,1.0,1.0,1.0,2,612.916
590,1000,1654.7454545454545,2014.0,1.0,1.0,1.0,3,623.409
600,1000,1614.7272727272727,2011.0,1.0,1.0,1.0,2,634.911
610,1000,1640.1818181818182,2062.0,1.0,1.0,1.0,2,646.369
620,1000,1671.3090909090909,2048.0,1.0,1.0,1.0,2,656.323
630,1000,1591.3272727272727,2089.0,1.0,1.0,1.0,2,667.096
640,1000,1625.8545454545454,2127.0,1.0,1.0,1.0,2,677.632
650,1000,1709.1272727272728,2125.0,1.0,1.0,1.0,2,687.467
660,1000,1771.1636363636364,2206.0,1.0,1.0,1.0,2,697.692
670,1000,1788.9272727272728,2201.0,1.0,1.0,1.0,2,708.393
680,1000,1772.090909090909,2244.0,1.0,1.0,1.0,3,720.024
690,1000,1781.709090909091,2301.0,1.0,1.0,1.0,2,730.59
700,1000,1573.1818181818182,2323.0,1.0,1.0,1.0,3,741.222
710,1000,1539.418181818182,2313.0,1.0,1.0,1.0,2,751.132
720,1000,1762.1272727272728,2364.0,1.0,1.0,1.0,2,761.123
730,1000,1816.7818181818182,2365.0,1.0,1.0,1.0,3,771.758
740,1000,1720.2545454545455,2375.0,1.0,1.0,1.0,3,781.787
750,1000,1719.4,2399.0,1.0,1.0,1.0,3,793.522
760,1000,1747.3272727272727,2460.0,1.0,1.0,1.0,2,804.135
770,1000,1960.8545454545454,2472.0,1.0,1.0,1.0,2,814.371
780,1000,1809.3272727272727,2502.0,1.0,1.0,1.0,3,825.222
790,1000,1965.909090909091,2513.0,1.0,1.0,1.0,3,834.575
800,1000,1862.7454545454545,2564.0,1.0,1.0,1.0,3,844.65
810,1000,1918.0727272727272,2585.0,1.0,1.0,1.0,2,857.182
820,1000,1965.6545454545455,2592.0,1.0,1.0,1.0,3,867.397
830,1000,1964.4,2622.0,1.0,1.0,1.0,3,877.158
840,1000,1685.909090909091,2651.0,1.0,1.0,1.0,2,887.97
850,1000,2014.509090909091,2670.0,1.0,1.0,1.0,2,899.41
860,1000,1869.8,2697.0,1.0,1.0,1.0,2,910.34
870,1000,2135.9636363636364,2762.0,1.0,1.0,1.0,2,921.024
880,1000,2101.890909090909,2766.0,1.0,1.0,1.0,3,930.833
890,1000,1707.090909090909,2771.0,1.0,1.0,1.0,3,941.439
900,1000,2188.2909090909093,2780.0,1.0,1.0,1.0,3,951.87
910,1000,1643.1454545454546,2803.0,1.0,1.0,1.0,2,962.941
920,1000,2181.8727272727274,2809.0,1.0,1.0,1.0,3,973.253
930,1000,1237.709090909091,1943.0,1.0,1.0,1.0,2,983.627
940,1000,1793.8,2869.0,1.0,1.0,1.0,2,990.107
950,1000,2013.909090909091,2893.0,1.0,1.0,1.0,2,1002.093
960,1000,2148.181818181818,2919.0,1.0,1.0,1.0,2,1010.843
970,1000,2271.5636363636363,2953.0,1.0,1.0,1.0,2,1022.573
980,1000,2353.6545454545453,2981.0,1.0,1.0,1.0,2,1034.801
990,1000,2096.5636363636363,2985.0,1.0,1.0,1.0,2,1043.581
1000,1000,2140.109090909091,3012.0,1.0,1.0,1.0,3,1055.683
1010,1000,1624.9454545454546,2816.0,1.0,1.0,1.0,3,1066.886
1020,1000,1998.2727272727273,3030.0,1.0,1.0,1.0,2,1075.772
1030,1000,2103.0,3073.0,1.0,1.0,1.0,2,1085.152
1040,1000,2328.090909090909,3085.0,1.0,1.0,1.0,2,1096.403
1050,1000,2140.8727272727274,3095.0,1.0,1.0,1.0,3,1108.011
1060,1000,2034.2363636363636,2983.0,1.0,1.0,1.0,2,1120.431
1070,1000,2223.309090909091,3142.0,1.0,1.0,1.0,3,1130.186
1080,1000,2255.2545454545457,3156.0,1.0,1.0,1.0,2,1138.215
1090,1000,2378.4,3184.0,1.0,1.0,1.0,3,1150.9
1100,1000,2605.7454545454543,3214.0,1.0,1.0,1.0,3,1161.401
1110,1000,2118.8,3207.0,1.0,1.0,1.0,3,1169.423
1120,1000,2467.818181818182,3229.0,1.0,1.0,1.0,2,1181.665
1130,1000,2414.163636363636,3254.0,1.0,1.0,1.0,3,1189.83
1140,1000,2537.0545454545454,3297.0,1.0,1.0,1.0,3,1200.666
1150,1000,1881.290909090909,3309.0,1.0,1.0,1.0,3,1212.927
1160,1000,2353.836363636364,3327.0,1.0,1.0,1.0,2,1224.104
1170,1000,2399.2363636363634,3346.0,1.0,1.0,1.0,2,1234.85
1180,1000,2260.5272727272727,3372.0,1.0,1.0,1.0,2,1244.11
1190,1000,1980.1454545454546,3405.0,1.0,1.0,1.0,2,1254.968
1200,1000,2570.3636363636365,3416.0,1.0,1.0,1.0,2,1262.291
1210,1000,2589.2727272727275,3442.0,1.0,1.0,1.0,2,1277.18
1220,1000,2702.927272727273,3465.0,1.0,1.0,1.0,2,1288.263
1230,1000,2611.4,3453.0,1.0,1.0,1.0,3,1299.394
1240,1000,2667.3454545454547,3500.0,1.0,1.0,1.0,2,1308.033
1250,1000,2575.7454545454543,3491.0,1.0,1.0,1.0,2,1318.969
1260,1000,2346.8,3531.0,1.0,1.0,1.0,2,1331.303
1270,1000,2503.072727272727,3544.0,1.0,1.0,1.0,2,1339.131
1280,1000,2684.0545454545454,3560.0,1.0,1.0,1.0,2,1351.595
1290,1000,2444.3818181818183,3492.0,1.0,1.0,1.0,2,1360.273
1300,1000,2611.5454545454545,3542.0,1.0,1.0,1.0,2,1372.022
1310,1000,2459.890909090909,3539.0,1.0,1.0,1.0,2,1384.168
1320,1000,2691.4,3618.0,1.0,1.0,1.0,2,1393.685
1330,1000,2655.8,3643.0,1.0,1.0,1.0,2,1400.466
1340,1000,2489.9454545454546,3600.0,1.0,1.0,1.0,2,1413.153
1350,1000,2641.5272727272727,3671.0,1.0,1.0,1.0,4,1424.895
